"Trial","TransferTime_Seconds","Throughput_KB_s"
"1","32.2105193","5.28"
"2","14.6003969","11.66"
"3","0.7673999","221.83"
"4","1.5802541","107.72"
"5","0.8747959","194.59"
"6","0.4496201","378.61"
"7","27.3939263","6.21"
"8","0.526244","323.48"
"9","14.8224458","11.48"
"10","3.5539371","47.9"
"11","0.4657121","365.52"
"12","0.5955641","285.83"
"13","12.6943442","13.41"
"14","12.8169959","13.28"
"15","7.0541553","24.13"
"16","2.332465","72.98"
"17","0.9900027","171.95"
"18","23.3126316","7.3"
"19","0.6302433","270.1"
"20","3.9043986","43.6"
